Year,Team,YrTm,Season,CY Season Rank,CY Playoff Rank,GP,W,L,OT,P,ROW,P%,Shots/GP,GF/GP,GA/GP,PP%,PK%,Shots/GP,FOW%,TOI,GF,GA,GF60,GA60,GF%,SF,SA,SF60,SA60,SF%,FF,FA,FF60,FA60,FF%,CF,CA,CF60,CA60,CF%,Sh%,Sv%,PDO,OZFO%,DZFO%,NZFO%,GF-GA,GF/W,GF/L,GA/W,GA/L,PY Playoff RNK,2PY Playoff RNK,3PY Playoff RNK,4PYPlayoff RNK
2016,Vancouver Canucks,2016Vancouver Canucks,Regular,28,28,82,31,38,13,75,26,0.457,28.2,2.27,2.91,15.8,81.1,28.2,45.4,208.4965278,185,238,2.22,2.85,43.7,2309,2666,27.7,32,46.4,3167,3605,38,43.2,46.8,4216,4663,50.6,55.9,47.5,8.01,91.07,99.1,34.1,34.5,31.3,-53,5.967741935,4.868421053,7.677419355,6.263157895,14,24,16,16
2015,New York Rangers,2015New York Rangers,Regular,1,4,82,53,22,7,113,49,0.689,31.5,3.02,2.28,16.4,84.3,31.5,46.7,222.1402778,248,187,2.79,2.1,57,2580,2416,29,27.2,51.6,3476,3408,39.1,38.4,50.5,4618,4567,52,51.4,50.3,9.61,92.26,101.9,33.6,33.6,32.8,61,4.679245283,11.27272727,3.528301887,8.5,2,7,3,15
2015,Tampa Bay Lightning,2015Tampa Bay Lightning,Regular,5,2,82,50,24,8,108,47,0.659,29.6,3.16,2.51,18.4,83.7,29.6,49.7,222.1402778,259,205,2.91,2.31,55.8,2427,2286,27.3,25.7,51.5,3354,3184,37.7,35.8,51.3,4505,4282,50.7,48.2,51.3,10.67,91.03,101.7,34.8,31.6,33.5,54,5.18,10.79166667,4.1,8.541666667,16,28,21,3
2015,St. Louis Blues,2015St. Louis Blues,Regular,3,13,82,51,24,7,109,42,0.665,30.9,2.91,2.4,22.3,83.7,30.9,53.4,222.1402778,239,196,2.69,2.21,54.9,2536,2232,28.5,25.1,53.2,3529,3121,39.7,35.1,53.1,4621,4294,52,48.3,51.8,9.42,91.22,100.6,34.2,34.8,30.9,43,4.68627451,9.958333333,3.843137255,8.166666667,14,13,8,20
2015,Washington Capitals,2015Washington Capitals,Regular,8,5,82,45,26,11,101,40,0.616,29.5,2.89,2.43,25.3,81.2,29.5,51.2,222.1402778,237,199,2.67,2.24,54.4,2418,2367,27.2,26.6,50.5,3478,3329,39.1,37.5,51.1,4734,4600,53.3,51.8,50.7,9.8,91.59,101.4,34.8,32.5,32.7,38,5.266666667,9.115384615,4.422222222,7.653846154,17,11,5,8
2015,Chicago Blackhawks,2015Chicago Blackhawks,Regular,7,1,82,48,28,6,102,39,0.622,33.9,2.68,2.27,17.6,83.4,33.9,52,222.1402778,220,185,2.48,2.08,54.3,2775,2476,31.2,27.9,52.8,3711,3273,41.8,36.8,53.1,5107,4313,57.5,48.5,54.2,7.93,92.53,100.5,37.9,30.7,31.3,35,4.583333333,7.857142857,3.854166667,6.607142857,3,1,12,10
2015,Montréal Canadiens,2015Montréal Canadiens,Regular,2,6,82,50,22,10,110,43,0.671,28.5,2.61,2.24,16,83.7,28.5,52.1,222.1402778,213,184,2.4,2.07,53.7,2333,2470,26.3,27.8,48.6,3238,3415,36.4,38.4,48.7,4526,4821,50.9,54.3,48.4,9.13,92.55,101.7,32,36,32,29,4.26,9.681818182,3.68,8.363636364,4,15,28,11
2015,Minnesota Wild,2015Minnesota Wild,Regular,11,8,82,46,28,8,100,42,0.61,30.8,2.77,2.41,15.8,86.3,30.8,49.9,222.1402778,226,198,2.54,2.23,53.3,2521,2266,28.4,25.5,52.7,3474,3177,39.1,35.8,52.2,4590,4410,51.7,49.6,51,8.96,91.26,100.2,34.9,33.2,31.9,28,4.913043478,8.071428571,4.304347826,7.071428571,8,14,24,21
2015,Nashville Predators,2015Nashville Predators,Regular,6,11,82,47,25,10,104,41,0.634,31.9,2.76,2.46,16.2,80.8,31.9,48.9,222.1402778,226,201,2.54,2.26,52.9,2614,2316,29.4,26.1,53,3632,3203,40.9,36,53.1,4882,4383,54.9,49.3,52.7,8.65,91.32,100,35.8,33.4,30.7,25,4.808510638,9.04,4.276595745,8.04,19,27,6,6
2015,Ottawa Senators,2015Ottawa Senators,Regular,13,12,82,43,26,13,99,37,0.604,31,2.83,2.54,16.8,82.9,31,48.2,222.1402778,232,208,2.61,2.34,52.7,2538,2633,28.6,29.6,49.1,3511,3568,39.5,40.2,49.6,4811,4613,54.1,51.9,51.1,9.14,92.1,101.2,34.2,33.8,32,24,5.395348837,8.923076923,4.837209302,8,19,8,11,26
2015,Calgary Flames,2015Calgary Flames,Regular,16,7,82,45,30,7,97,41,0.591,27.5,2.89,2.6,18,80.6,27.5,47.4,222.1402778,237,213,2.67,2.4,52.7,2251,2392,25.3,26.9,48.5,3141,3438,35.3,38.7,47.7,4386,4995,49.4,56.2,46.8,10.53,91.1,101.6,32.7,35.6,31.7,24,5.266666667,7.9,4.733333333,7.1,27,25,17,17
2015,Los Angeles Kings,2015Los Angeles Kings,Regular,18,18,82,40,27,15,95,38,0.579,30.9,2.66,2.4,19,80.9,30.9,51.3,222.1402778,217,197,2.44,2.22,52.4,2534,2215,28.5,24.9,53.4,3643,3158,41,35.5,53.6,4887,4150,55,46.7,54.1,8.56,91.11,99.7,36.5,31.5,32,20,5.425,8.037037037,4.925,7.296296296,1,3,1,14
2015,Detroit Red Wings,2015Detroit Red Wings,Regular,11,9,82,43,25,14,100,39,0.61,29.6,2.82,2.57,23.5,80.9,29.6,51.5,222.1402778,231,211,2.6,2.37,52.3,2428,2320,27.3,26.1,51.1,3349,3136,37.7,35.3,51.6,4498,4044,50.6,45.5,52.7,9.51,90.91,100.4,36.9,31.6,31.5,20,5.372093023,9.24,4.906976744,8.44,15,5,14,5
2015,New York Islanders,2015New York Islanders,Regular,8,10,82,47,28,7,101,40,0.616,33.8,2.99,2.73,18.7,78,33.8,49.2,222.1402778,245,224,2.76,2.52,52.2,2771,2320,31.2,26.1,54.4,3814,3220,42.9,36.2,54.2,5127,4543,57.7,51.1,53,8.84,90.34,99.2,36.1,31.5,32.4,21,5.212765957,8.75,4.765957447,8,26,12,27,27
2015,Winnipeg Jets,2015Winnipeg Jets,Regular,13,16,82,43,26,13,99,36,0.604,29.7,2.72,2.49,17.5,81.8,29.7,48.9,222.1402778,223,204,2.51,2.3,52.2,2439,2350,27.4,26.4,50.9,3401,3240,38.3,36.5,51.2,4689,4360,52.8,49.1,51.8,9.14,91.32,100.5,34,34,32,19,5.186046512,8.576923077,4.744186047,7.846153846,22,18,21,25
2015,Vancouver Canucks,2015Vancouver Canucks,Regular,8,14,82,48,29,5,101,42,0.616,29.9,2.88,2.68,18.9,85.7,29.9,46.7,222.1402778,236,218,2.66,2.45,52,2454,2444,27.6,27.5,50.1,3354,3373,37.7,38,49.9,4429,4589,49.8,51.6,49.1,9.62,91.08,100.7,33,35,32,18,4.916666667,8.137931034,4.541666667,7.517241379,24,16,16,2
2015,Pittsburgh Penguins,2015Pittsburgh Penguins,Regular,15,15,82,43,27,12,98,39,0.598,31.6,2.65,2.49,19.3,84.8,31.6,49.1,222.1402778,217,203,2.44,2.28,51.7,2594,2398,29.2,27,52,3511,3237,39.5,36.4,52,4676,4331,52.6,48.7,51.9,8.37,91.53,99.9,35.2,31.6,33.2,14,5.046511628,8.037037037,4.720930233,7.518518519,7,4,13,12
2015,Boston Bruins,2015Boston Bruins,Regular,17,17,82,41,27,14,96,37,0.585,31,2.55,2.45,17.8,82,31,53.6,222.1402778,209,200,2.35,2.25,51.1,2546,2448,28.7,27.6,51,3550,3371,40,37.9,51.3,4817,4418,54.2,49.7,52.2,8.21,91.83,100,34.5,33.9,31.6,9,5.097560976,7.740740741,4.87804878,7.407407407,6,2,9,1
2015,Anaheim Ducks,2015Anaheim Ducks,Regular,3,3,82,51,24,7,109,43,0.665,30,2.78,2.7,15.7,81,30,51.6,222.1402778,226,219,2.54,2.46,50.8,2455,2365,27.6,26.6,50.9,3575,3358,40.2,37.8,51.6,4716,4520,53.1,50.9,51.1,9.21,90.74,99.9,33.8,33.8,32.4,7,4.431372549,9.416666667,4.294117647,9.125,5,9,25,13
2015,Dallas Stars,2015Dallas Stars,Regular,19,19,82,41,31,10,92,37,0.561,31.2,3.13,3.13,19.3,80.7,31.2,51.7,222.1402778,255,256,2.87,2.88,49.9,2556,2452,28.8,27.6,51,3747,3459,42.2,38.9,52,5102,4706,57.4,53,52,9.98,89.56,99.5,34.4,32.2,33.4,-1,6.219512195,8.225806452,6.243902439,8.258064516,13,21,18,17
2015,San Jose Sharks,2015San Jose Sharks,Regular,22,22,82,40,33,9,89,36,0.543,31.6,2.73,2.76,20.9,78.5,31.6,51.9,222.1402778,223,226,2.51,2.54,49.7,2589,2436,29.1,27.4,51.5,3687,3421,41.5,38.5,51.9,5093,4713,57.3,53,51.9,8.61,90.72,99.3,34,35.1,30.8,-3,5.575,6.757575758,5.65,6.848484848,11,6,15,4
2015,Philadelphia Flyers,2015Philadelphia Flyers,Regular,24,24,82,33,31,18,84,30,0.512,29.4,2.59,2.72,23,77.1,29.4,51.1,222.1402778,212,223,2.39,2.51,48.7,2413,2481,27.2,27.9,49.3,3353,3444,37.7,38.8,49.3,4628,4692,52.1,52.8,49.7,8.79,91.01,99.8,35.1,33.4,31.5,-11,6.424242424,6.838709677,6.757575758,7.193548387,10,20,7,7
2015,Colorado Avalanche,2015Colorado Avalanche,Regular,21,21,82,39,31,12,90,29,0.549,27.9,2.55,2.72,14.6,84.6,27.9,50.8,222.1402778,209,223,2.35,2.51,48.4,2286,2719,25.7,30.6,45.7,3053,3791,34.4,42.7,44.6,4087,5182,46,58.3,44.1,9.14,91.8,100.9,32,36.9,31.1,-14,5.358974359,6.741935484,5.717948718,7.193548387,9,29,20,29
2015,Florida Panthers,2015Florida Panthers,Regular,20,20,82,38,29,15,91,30,0.555,30.7,2.41,2.6,16.3,80,30.7,48.6,222.1402778,198,213,2.23,2.4,48.2,2517,2421,28.3,27.2,51,3396,3329,38.2,37.5,50.5,4454,4330,50.1,48.7,50.7,7.87,91.2,99.1,34.1,33.8,32.1,-15,5.210526316,6.827586207,5.605263158,7.344827586,29,30,10,28
2015,Columbus Blue Jackets,2015Columbus Blue Jackets,Regular,22,22,82,42,35,5,89,33,0.543,28.9,2.77,3.02,21.7,80.2,28.9,49.3,222.1402778,225,248,2.53,2.79,47.6,2363,2741,26.6,30.8,46.3,3187,3664,35.9,41.2,46.5,4212,4744,47.4,53.4,47,9.52,90.95,100.5,31.7,36.7,31.6,-23,5.357142857,6.428571429,5.904761905,7.085714286,12,17,30,23
2015,New Jersey Devils,2015New Jersey Devils,Regular,25,25,82,32,36,14,78,27,0.476,24.5,2.15,2.55,18.9,80.6,24.5,47.3,222.1402778,176,208,1.98,2.34,45.8,2009,2515,22.6,28.3,44.4,2784,3346,31.3,37.7,45.4,3702,4388,41.7,49.4,45.8,8.76,91.73,100.5,30.4,36.5,33.1,-32,5.5,4.888888889,6.5,5.777777778,19,21,2,23
2015,Carolina Hurricanes,2015Carolina Hurricanes,Regular,26,26,82,30,41,11,71,25,0.433,30.8,2.23,2.67,18.3,84.7,30.8,53,222.1402778,182,219,2.05,2.46,45.4,2523,2237,28.4,25.2,53,3548,3221,39.9,36.2,52.4,4847,4311,54.5,48.5,52.9,7.21,90.21,97.4,36,31.7,32.3,-37,6.066666667,4.43902439,7.3,5.341463415,24,25,23,19
2015,Toronto Maple Leafs,2015Toronto Maple Leafs,Regular,27,27,82,30,44,8,68,25,0.415,29.2,2.51,3.13,15.9,80.5,29.2,49,222.1402778,205,257,2.31,2.89,44.4,2395,2748,27,30.9,46.6,3332,3863,37.5,43.5,46.3,4419,5038,49.7,56.7,46.7,8.56,90.65,99.2,31.7,36.8,31.6,-52,6.833333333,4.659090909,8.566666667,5.840909091,22,10,25,22
2015,Edmonton Oilers,2015Edmonton Oilers,Regular,28,28,82,24,44,14,62,19,0.378,28.4,2.35,3.37,17.7,76.7,28.4,48.2,222.1402778,191,275,2.15,3.09,41,2328,2463,26.2,27.7,48.6,3265,3486,36.7,39.2,48.4,4489,4691,50.5,52.8,48.9,8.2,88.83,97,33.9,32.8,33.3,-84,7.958333333,4.340909091,11.45833333,6.25,28,24,29,30
2015,Arizona Coyotes,2015Arizona Coyotes,Regular,29,29,82,24,50,8,56,19,0.341,29.2,2.01,3.26,20,76.7,29.2,51.8,222.1402778,165,267,1.86,3,38.2,2391,2722,26.9,30.6,46.8,3383,3790,38.1,42.7,47.2,4617,5061,52,57,47.7,6.9,90.19,97.1,32.8,35.3,31.9,-102,6.875,3.3,11.125,5.34,18,18,4,16
2015,Buffalo Sabres,2015Buffalo Sabres,Regular,30,30,82,23,51,8,54,15,0.329,24.2,1.87,3.28,13.4,75.1,24.2,44.9,222.1402778,153,268,1.72,3.02,36.3,1984,2919,22.3,32.9,40.5,2640,4093,29.7,46.1,39.2,3446,5626,38.8,63.3,38,7.71,90.82,98.5,28.7,40.3,31,-115,6.652173913,3,11.65217391,5.254901961,30,21,18,9
2014,Boston Bruins,2014Boston Bruins,Regular,1,6,82,54,19,9,117,51,0.713,31.9,3.15,2.09,21.7,83.7,31.9,51.6,207.4506944,257,170,3.1,2.05,60.2,2612,2383,31.5,28.7,52.3,3599,3225,43.4,38.9,52.7,4837,4276,58.3,51.5,53.1,9.84,92.87,102.7,35.3,32.4,32.4,87,4.759259259,13.52631579,3.148148148,8.947368421,2,9,1,5
2014,Anaheim Ducks,2014Anaheim Ducks,Regular,2,5,82,54,20,8,116,51,0.707,31.3,3.21,2.48,16.4,82.2,31.3,49.2,207.78125,263,203,3.16,2.44,56.4,2566,2352,30.9,28.3,52.2,3585,3433,43.1,41.3,51.1,4704,4673,56.6,56.2,50.2,10.25,91.37,101.6,34.6,33.5,32,60,4.87037037,13.15,3.759259259,10.15,9,25,13,17
2014,St. Louis Blues,2014St. Louis Blues,Regular,4,14,82,52,23,7,111,43,0.677,29.3,2.91,2.29,19.4,85.7,29.3,51.9,208.4173611,237,188,2.84,2.26,55.8,2400,2162,28.8,25.9,52.6,3426,3033,41.1,36.4,53,4618,4154,55.4,49.8,52.6,9.88,91.3,101.2,34.9,32.5,32.6,49,4.557692308,10.30434783,3.615384615,8.173913043,13,8,20,17
2014,San Jose Sharks,2014San Jose Sharks,Regular,4,11,82,51,22,9,111,41,0.677,34.8,2.91,2.35,17.2,84.9,34.8,52.8,209.1916667,239,192,2.86,2.29,55.5,2850,2280,34.1,27.2,55.6,3998,3204,47.8,38.3,55.5,5378,4490,64.3,53.7,54.5,8.39,91.58,100,34.1,33.1,32.8,47,4.68627451,10.86363636,3.764705882,8.727272727,6,15,4,4
2014,Chicago Blackhawks,2014Chicago Blackhawks,Regular,7,3,82,46,21,15,107,40,0.652,33.1,3.18,2.59,19.1,81.5,33.1,52,208.6034722,260,211,3.12,2.53,55.2,2715,2225,32.5,26.7,55,3635,3006,43.6,36,54.7,4903,4029,58.8,48.3,54.9,9.58,90.52,100.1,36.2,29.7,34.2,49,5.652173913,12.38095238,4.586956522,10.04761905,1,12,10,1
2014,Los Angeles Kings,2014Los Angeles Kings,Regular,9,1,82,46,28,8,100,38,0.61,31.6,2.41,2.05,14.8,83.1,31.6,52.8,208.3347222,198,167,2.38,2,54.2,2591,2149,31.1,25.8,54.7,3777,3104,45.3,37.2,54.9,5060,4031,60.7,48.4,55.7,7.64,92.23,99.9,36.8,31.8,31.4,31,4.304347826,7.071428571,3.630434783,5.964285714,3,1,14,13
2014,Pittsburgh Penguins,2014Pittsburgh Penguins,Regular,6,7,82,51,24,7,109,44,0.665,29.9,2.95,2.49,23.4,85,29.9,51,207.7326389,240,204,2.89,2.46,54.1,2449,2357,29.5,28.4,51,3313,3340,39.9,40.2,49.8,4396,4527,52.9,54.5,49.3,9.8,91.34,101.1,33,32.6,34.4,36,4.705882353,10,4,8.5,4,13,12,6
2014,New York Rangers,2014New York Rangers,Regular,12,2,82,45,31,6,96,41,0.585,33.2,2.61,2.32,18.2,85.3,33.2,48.8,206.8395833,213,185,2.57,2.24,53.5,2714,2405,32.8,29.1,53,3707,3304,44.8,39.9,52.9,4969,4422,60.1,53.4,52.9,7.85,92.31,100.2,35.7,32.5,31.8,28,4.733333333,6.870967742,4.111111111,5.967741935,7,3,15,21
2014,Colorado Avalanche,2014Colorado Avalanche,Regular,3,9,82,52,22,8,112,47,0.683,29.5,2.99,2.63,19.4,80.7,29.5,49.5,208.4368056,245,216,2.94,2.59,53.1,2422,2676,29,32.1,47.5,3250,3738,39,44.8,46.5,4313,4940,51.7,59.3,46.6,10.12,91.93,102,33.4,34.8,31.8,29,4.711538462,11.13636364,4.153846154,9.818181818,29,20,29,12
2014,Tampa Bay Lightning,2014Tampa Bay Lightning,Regular,8,16,82,46,27,9,101,38,0.616,29.8,2.83,2.55,18.1,80.7,29.8,49.2,208.8798611,232,208,2.78,2.49,52.7,2444,2397,29.3,28.7,50.5,3440,3404,41.2,40.7,50.3,4475,4525,53.6,54.2,49.7,9.49,91.32,100.8,34.3,33,32.7,24,5.043478261,8.592592593,4.52173913,7.703703704,28,21,3,24
2014,Columbus Blue Jackets,2014Columbus Blue Jackets,Regular,14,12,82,43,32,7,93,38,0.567,29.6,2.76,2.61,19.3,82.1,29.6,51.6,207.3645833,224,214,2.7,2.58,51.1,2430,2522,29.3,30.4,49.1,3335,3341,40.2,40.3,50,4444,4422,53.6,53.3,50.1,9.22,91.51,100.7,32.7,35.1,32.3,10,5.209302326,7,4.976744186,6.6875,17,30,23,26
2014,Montréal Canadiens,2014Montréal Canadiens,Regular,9,4,82,46,28,8,100,40,0.61,28.4,2.55,2.45,16.5,85.1,28.4,49.6,207.9451389,208,199,2.5,2.39,51.1,2326,2539,28,30.5,47.8,3267,3519,39.3,42.3,48.1,4446,5009,53.5,60.2,47,8.94,92.16,101.1,30.8,36.2,33,9,4.52173913,7.428571429,4.326086957,7.107142857,15,28,11,3
2014,Philadelphia Flyers,2014Philadelphia Flyers,Regular,13,10,82,42,30,10,94,39,0.573,30.4,2.84,2.77,19.7,84.8,30.4,50,207.9798611,233,227,2.8,2.73,50.7,2487,2507,29.9,30.1,49.8,3492,3421,42,41.1,50.5,4773,4621,57.4,55.5,50.8,9.37,90.95,100.3,34,32.9,33.1,6,5.547619048,7.766666667,5.404761905,7.566666667,20,7,7,2
2014,Dallas Stars,2014Dallas Stars,Regular,16,13,82,40,31,11,91,36,0.555,31.7,2.82,2.72,16.2,81.4,31.7,50.1,207.9256944,227,222,2.73,2.67,50.6,2595,2489,31.2,29.9,51,3699,3533,44.5,42.5,51.1,4947,4743,59.5,57,51.1,8.75,91.08,99.8,34.9,32.3,32.8,5,5.675,7.322580645,5.55,7.161290323,21,18,17,18
2014,New Jersey Devils,2014New Jersey Devils,Regular,19,19,82,35,29,18,88,35,0.537,26.8,2.4,2.38,19.5,86.4,26.8,47,208.9131944,197,194,2.36,2.32,50.4,2199,2086,26.3,25,51.3,3031,2797,36.3,33.5,52,4044,3646,48.4,43.6,52.6,8.96,90.7,99.7,33.5,31.3,35.2,3,5.628571429,6.793103448,5.542857143,6.689655172,21,2,23,16
2014,Minnesota Wild,2014Minnesota Wild,Regular,11,8,82,43,27,12,98,35,0.598,26.6,2.43,2.41,17.5,78.8,26.6,50.9,209.1125,198,195,2.37,2.33,50.4,2179,2270,26.1,27.1,49,3038,3185,36.3,38.1,48.8,4075,4309,48.7,51.5,48.6,9.09,91.41,100.5,33,34.2,32.8,3,4.604651163,7.333333333,4.534883721,7.222222222,14,24,21,22
2014,Detroit Red Wings,2014Detroit Red Wings,Regular,14,15,82,39,28,15,93,34,0.567,30,2.65,2.7,17.4,83,30,50.7,209.3902778,217,220,2.59,2.63,49.7,2454,2398,29.3,28.6,50.6,3376,3195,40.3,38.1,51.4,4358,4209,52,50.3,50.9,8.84,90.83,99.7,35.3,32.4,32.3,-3,5.564102564,7.75,5.641025641,7.857142857,5,14,5,8
2014,Washington Capitals,2014Washington Capitals,Regular,17,17,82,38,30,14,90,28,0.549,29.4,2.74,2.79,23.4,82,29.4,48.4,209.8479167,224,229,2.67,2.73,49.4,2411,2748,28.7,32.7,46.7,3362,3760,40.1,44.8,47.2,4519,4970,53.8,59.2,47.6,9.29,91.67,101,34.1,33.4,32.5,-5,5.894736842,7.466666667,6.026315789,7.633333333,11,5,8,10
2014,Winnipeg Jets,2014Winnipeg Jets,Regular,22,22,82,37,35,10,84,29,0.512,30.7,2.67,2.82,15.4,83.2,30.7,46.9,208.8763889,219,230,2.62,2.75,48.8,2515,2471,30.1,29.6,50.4,3541,3455,42.4,41.4,50.6,4760,4711,57,56.4,50.3,8.71,90.69,99.4,33.4,32.6,34,-11,5.918918919,6.257142857,6.216216216,6.571428571,18,21,25,23
2014,Arizona Coyotes,2014Arizona Coyotes,Regular,18,18,82,37,30,15,89,31,0.543,30.5,2.56,2.73,19.5,79,30.5,52,208.9416667,210,224,2.51,2.68,48.4,2499,2538,29.9,30.4,49.6,3497,3502,41.8,41.9,50,4705,4632,56.3,55.4,50.4,8.4,91.17,99.6,34.2,32.7,33.1,-14,5.675675676,7,6.054054054,7.466666667,18,4,16,9
2014,Nashville Predators,2014Nashville Predators,Regular,19,19,82,38,32,12,88,36,0.537,29,2.61,2.84,18.8,80.3,29,53.1,207.8284722,213,233,2.56,2.8,47.8,2380,2368,28.6,28.5,50.1,3239,3322,39,40,49.4,4237,4552,51,54.8,48.2,8.95,90.16,99.1,32.8,35.7,31.5,-20,5.605263158,6.65625,6.131578947,7.28125,27,6,6,14
2014,Carolina Hurricanes,2014Carolina Hurricanes,Regular,24,24,82,36,35,11,83,34,0.506,31.2,2.5,2.76,14.6,81.7,31.2,52.6,207.4645833,204,225,2.46,2.71,47.6,2559,2535,30.8,30.5,50.2,3617,3595,43.6,43.3,50.2,4927,4691,59.4,56.5,51.2,7.97,91.12,99.1,36.1,32.1,31.8,-21,5.666666667,5.828571429,6.25,6.428571429,25,23,19,24
2014,Vancouver Canucks,2014Vancouver Canucks,Regular,24,24,82,36,35,11,83,31,0.506,30.8,2.33,2.63,15.2,83.2,30.8,51.4,208.6604167,191,216,2.29,2.59,46.9,2525,2324,30.3,27.8,52.1,3556,3268,42.6,39.2,52.1,4805,4485,57.6,53.7,51.7,7.56,90.71,98.3,33.3,34.9,31.8,-25,5.305555556,5.457142857,6,6.171428571,16,16,2,7
2014,Ottawa Senators,2014Ottawa Senators,Regular,19,19,82,37,31,14,88,30,0.537,32.8,2.79,3.15,18.8,80.9,32.8,51.2,208.5576389,228,258,2.73,3.09,46.9,2688,2849,32.2,34.2,48.5,3780,3831,45.3,45.9,49.7,5027,4786,60.3,57.4,51.2,8.48,90.94,99.4,33.4,33.5,33.1,-30,6.162162162,7.35483871,6.972972973,8.322580645,8,11,26,15
2014,Toronto Maple Leafs,2014Toronto Maple Leafs,Regular,22,22,82,38,36,8,84,29,0.512,27.9,2.71,3.07,19.8,78.3,27.9,48.3,208.6305556,221,252,2.65,3.02,46.7,2290,2943,27.4,35.3,43.8,3154,4228,37.8,50.7,42.7,4261,5506,51.1,66,43.6,9.65,91.44,101.1,28.6,39.4,32.1,-31,5.815789474,6.138888889,6.631578947,7,10,25,22,29
2014,Calgary Flames,2014Calgary Flames,Regular,27,27,82,35,40,7,77,28,0.47,26.8,2.46,2.9,15.7,81.7,26.8,46.2,208.1270833,201,238,2.41,2.86,45.8,2198,2345,26.4,28.2,48.4,3122,3319,37.5,39.9,48.5,4241,4742,50.9,57,47.2,9.14,89.85,99,32.9,34,33,-37,5.742857143,5.025,6.8,5.95,25,17,17,17
2014,New York Islanders,2014New York Islanders,Regular,26,26,82,34,37,11,79,25,0.482,30.9,2.63,3.18,17.8,78.1,30.9,47.2,208.9236111,215,261,2.57,3.12,45.2,2530,2465,30.3,29.5,50.7,3460,3485,41.4,41.7,49.8,4721,4726,56.5,56.6,50,8.5,89.41,97.9,34.4,33.2,32.4,-46,6.323529412,5.810810811,7.676470588,7.054054054,12,27,27,26
2014,Edmonton Oilers,2014Edmonton Oilers,Regular,28,28,82,29,44,9,67,25,0.409,26.9,2.43,3.26,16.6,82.1,26.9,49,207.45625,199,266,2.4,3.21,42.8,2208,2695,26.6,32.5,45,3042,3830,36.7,46.2,44.3,4096,5082,49.4,61.2,44.6,9.01,90.13,99.1,30.7,35.9,33.4,-67,6.862068966,4.522727273,9.172413793,6.045454545,24,29,30,30
2014,Florida Panthers,2014Florida Panthers,Regular,29,29,82,29,45,8,66,21,0.402,29.9,2.29,3.2,10,76,29.9,48.3,208.0729167,188,261,2.26,3.14,41.9,2448,2547,29.4,30.6,49,3400,3416,40.9,41,49.9,4463,4398,53.6,52.8,50.4,7.68,89.75,97.4,33.3,34,32.7,-73,6.482758621,4.177777778,9,5.8,30,10,28,28
